,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Total_Daily_Consumption
2023-01-01,36.753128000000004,35.877284,35.525627,35.352944,35.169353,37.624868,40.256909,43.766261,47.274029,45.525797,44.664983,48.146732,47.289167,46.395106999999996,43.79282,48.157883,48.167819,46.394396,48.157855999999995,47.285324,49.903307,47.270618,44.647748,43.777016,1047.1769760000002
2023-01-02,36.706013,35.844280999999995,35.505035,35.332028,35.161469,37.552112,40.11326,43.507322,46.910546,45.230579,44.367767,47.773286,46.913021,46.073222,43.513127,47.757104,47.79575,46.069001,47.784859999999995,46.924487,49.481297,46.92923,44.373536,43.510048999999995,1041.128382
2023-01-03,36.723752000000005,35.857186999999996,35.510605999999996,35.340767,35.171063000000004,37.580471,40.160159,43.603235,47.052538999999996,45.316205,44.449523,47.907016999999996,47.0312,46.185614,43.593542,47.909906,47.910995,46.190015,47.89673,47.030363,49.635287000000005,47.052125,44.473787,43.602839,1043.1849269999998
2023-01-04,36.73043,35.865314,35.511632,35.341001,35.171791999999996,37.594484,40.212422000000004,43.67798,47.174219,45.411596,44.546372,48.020192,47.156200999999996,46.284542,43.677808999999996,48.033097999999995,48.031504999999996,46.300013,48.04127,47.176919,49.783193,47.148173,44.545300999999995,43.694765000000004,1045.130223
2023-01-05,36.74384,35.869715,35.524412,35.351513,35.170388,37.632221,40.258250000000004,43.770356,47.275523,45.535264999999995,44.661122,48.167035999999996,47.263768999999996,46.392029,43.787915,48.156397999999996,48.173066,46.40489,48.179915,47.269052,49.921469,47.302099999999996,44.641412,43.777249999999995,1047.2289059999998
2023-01-06,36.760418,35.886077,35.530235000000005,35.348039,35.169983,37.657736,40.298687,43.865224999999995,47.40173,45.632591,44.738315,48.301666999999995,47.398624999999996,46.517498,43.871138,48.272740999999996,48.280390999999995,46.496942000000004,48.267188000000004,47.40964099999999,50.064245,47.405671999999996,44.734913,43.858034,1049.167731
2023-01-07,36.707498,35.854937,35.514665,35.341766,35.171701999999996,37.576259,40.145588000000004,43.588187,47.012957,45.310328,44.438957,47.879855,47.009366,46.158281,43.585253,47.874293,47.854196,46.159586,47.871017,47.013614000000004,49.584698,47.015440999999996,44.439281,43.603631,1042.711356
2023-01-08,36.730511,35.864207,35.511389,35.342287999999996,35.171701999999996,37.596653,40.20506,43.65674,47.12984,45.378647,44.542952,48.00014,47.114611999999994,46.249145,43.670843000000005,47.997412999999995,47.989042999999995,46.26305,47.996495,47.133134,49.739813,47.133467,44.548073,43.662716,1044.627933
2023-01-09,36.821735000000004,35.910629,35.542034,35.360620999999995,35.1809,37.732049,40.458545,44.118224,47.758219999999994,45.937412,45.007307,48.683609000000004,47.763098,46.837889,44.10746,48.676742,48.656267,46.828637,48.653864,47.754656,50.501222,47.757149,45.019529,44.10683,1055.1746279999998
2023-01-10,36.837773,35.921141,35.547838999999996,35.364275,35.179397,37.756484,40.530176,44.189378,47.859623,46.029401,45.126908,48.797369,47.854394,46.945142000000004,44.189296999999996,48.778099999999995,48.786452,46.951118,48.793085000000005,47.873438,50.627590999999995,47.864978,45.12455,44.211104,1057.139013
2023-01-11,36.856663999999995,35.925731,35.551232,35.369882000000004,35.182808,37.784429,40.56398,44.288891,47.987684,46.125962,45.196568,48.92138,47.996477,47.074742,44.269954999999996,48.901832,48.922505,47.064554,48.911012,47.987783,50.774516,48.002309,45.205991,44.28584,1059.1527270000001
